x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\220.csv,1,0.0,1.0,9.461602e-23,0.0,6.995634e-14,6.1239044e-20,8.094198e-39,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\221.csv,1,0.0,1.0,1.2548595e-16,9.2e-44,1.7557028e-09,1.3819774e-18,2.3297728e-32,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\222.csv,1,0.0,1.0,4.6704014e-14,0.0,3.4658903e-15,2.6075628e-15,1.0756735e-33,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\223.csv,1,0.0,1.0,2.101965e-18,0.0,3.776798e-15,5.844095e-20,7.240417e-38,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\224.csv,1,0.0,1.0,1.2083002e-19,0.0,1.1632513e-14,3.378123e-21,4.3684776e-38,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\225.csv,1,0.0,1.0,6.9173057e-12,0.0,3.3636525e-16,3.4682048e-15,9.779824e-33,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\226.csv,1,0.0,1.0,9.89586e-18,0.0,4.5266996e-14,4.6495425e-17,1.5257726e-37,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\227.csv,1,0.0,1.0,1.3045767e-19,0.0,1.8963114e-17,1.03729725e-20,4.64018e-35,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\228.csv,1,0.0,1.0,4.1288252e-20,3.4e-43,7.898885e-10,1.0514436e-21,3.8166875e-36,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\229.csv,1,0.0,1.0,1.9958156e-20,0.0,2.4330204e-15,4.2716346e-21,3.691e-42,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\230.csv,1,0.0,1.0,3.3582003e-18,0.0,4.6634226e-14,8.524287e-19,3.2688336e-37,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\231.csv,1,0.0,1.0,3.0105247e-25,0.0,2.2420642e-13,1.2142254e-24,3.429836e-39,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\232.csv,1,0.0,1.0,1.1943704e-24,0.0,1.7128261e-12,1.3534454e-24,2.092152e-38,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\233.csv,1,0.0,1.0,1.9669786e-22,2.7e-44,3.6602524e-13,2.0535754e-21,1.4635704e-29,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\234.csv,1,1.84e-43,1.0,5.4710444e-17,3.173e-42,3.4428634e-11,1.836204e-15,1.6301265e-25,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\235.csv,1,1.258e-42,1.0,7.551101e-09,7.5583e-41,8.161752e-11,4.444663e-13,5.6227057e-25,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\236.csv,1,2.022e-40,1.0,9.579872e-12,2.6562e-41,1.2167738e-12,4.9973904e-14,8.811186e-29,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\237.csv,1,1.386e-42,1.0,2.674057e-15,7.757148e-37,1.5101318e-08,1.9516543e-13,2.2409577e-31,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\238.csv,1,1.77e-43,1.0,3.900049e-14,8.0021e-41,3.4615945e-12,5.412751e-14,9.792195e-30,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\01\239.csv,1,6.2e-44,1.0,8.5180264e-16,1.67e-43,4.920732e-13,1.2174664e-18,1.1211266e-30,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\220.csv,2,0.0,0.00010233263,0.9998976,0.0,0.0,4.5691195e-18,8.496522e-22,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\221.csv,2,0.0,1.6781184e-08,1.0,0.0,0.0,3.2231356e-19,9.326659e-28,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\222.csv,2,0.0,2.5967542e-14,1.0,0.0,0.0,1.4341128e-22,3.3807004e-29,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\223.csv,2,0.0,1.899451e-12,1.0,0.0,0.0,3.116978e-22,6.834551e-20,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\224.csv,2,0.0,1.5678747e-25,1.0,0.0,0.0,1.3362143e-23,3.3162293e-25,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\225.csv,2,0.0,5.2816793e-18,1.0,0.0,0.0,2.1391145e-21,1.5064738e-36,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\226.csv,2,0.0,0.2298592,0.7701408,0.0,0.0,1.0273447e-13,5.910358e-21,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\227.csv,2,0.0,1.7462155e-12,1.0,0.0,0.0,2.0301667e-16,9.710002e-20,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\228.csv,2,0.0,1.4666193e-10,1.0,0.0,0.0,1.8301781e-20,3.1743691e-31,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\229.csv,2,0.0,4.480079e-09,1.0,0.0,0.0,4.2266385e-21,4.253448e-32,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\230.csv,2,0.0,3.5410844e-11,1.0,0.0,0.0,1.05363555e-14,1.0636612e-17,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\231.csv,2,0.0,4.565792e-09,1.0,0.0,0.0,1.370662e-12,4.7743755e-22,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\232.csv,2,0.0,2.7652247e-12,1.0,0.0,0.0,3.888019e-13,9.870909e-24,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\233.csv,2,0.0,3.037777e-15,1.0,0.0,0.0,3.5211613e-19,4.9483098e-20,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\234.csv,2,0.0,1.4852489e-11,1.0,0.0,0.0,9.6494225e-17,4.1675093e-15,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\235.csv,2,0.0,8.44446e-15,1.0,0.0,0.0,1.4341076e-14,6.649395e-18,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\236.csv,2,0.0,8.808195e-14,1.0,0.0,0.0,5.238927e-22,1.0505975e-36,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\237.csv,2,0.0,9.958488e-12,1.0,0.0,0.0,2.4440367e-13,1.3445535e-16,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\238.csv,2,0.0,8.073497e-19,1.0,0.0,0.0,2.6395703e-21,3.254838e-28,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\02\239.csv,2,0.0,5.487403e-12,1.0,0.0,0.0,5.0348097e-21,2.136362e-25,0.0
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\220.csv,3,5.357936e-12,4.0356217e-06,6.052277e-10,0.99522,0.004219214,0.000556749,7.692174e-14,3.2420926e-09
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\221.csv,3,1.0565675e-11,6.0670627e-06,1.3437048e-09,0.99721175,0.0022811398,0.00050107314,8.39741e-13,9.489377e-09
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\222.csv,3,1.307871e-11,1.9149722e-06,1.6179204e-09,0.9976799,0.0017787354,0.00053949025,2.004706e-12,1.6258872e-08
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\223.csv,3,3.6563795e-12,1.0940911e-06,2.5888697e-10,0.9986822,0.0009186285,0.00039807867,2.2953105e-13,1.0098606e-08
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\224.csv,3,2.9676364e-13,5.246197e-07,4.2425397e-11,0.998582,0.0012807727,0.00013674324,1.1764068e-14,5.3933463e-10
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\225.csv,3,9.968572e-13,9.379186e-07,9.7040265e-11,0.99646026,0.0029205938,0.00061821745,1.7747104e-14,9.067781e-10
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\226.csv,3,5.2459317e-12,1.7119588e-06,2.2671161e-10,0.9973387,0.0021255556,0.00053406117,1.1280106e-13,5.9741403e-09
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\227.csv,3,2.2400966e-12,8.171175e-07,4.878196e-10,0.99685293,0.0028445194,0.00030175038,2.0602588e-13,3.953365e-09
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\228.csv,3,8.068361e-11,2.5568143e-06,2.127471e-09,0.9984149,0.0009273633,0.0006548298,8.9883795e-12,2.8637513e-07
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\229.csv,3,8.6277506e-11,2.2647469e-06,4.666238e-09,0.99919754,0.00038115526,0.00041889312,6.3640074e-12,1.5283462e-07
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\230.csv,3,1.2108142e-12,2.1953701e-06,1.1991858e-10,0.99427503,0.0055556595,0.0001670223,2.4370337e-14,3.8096165e-10
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\231.csv,3,1.4449201e-12,5.7094735e-07,2.5671049e-11,0.9989868,0.00082551234,0.0001870897,7.316171e-14,2.6842573e-09
C:\msys64\home\shino\spresense-nnc-step1\app\__dnn_dataset\audio_recognition\03\232.csv,3,1.4589046e-12,4.499762e-07,1.4168279e-10,0.999057,0.0008402771,0.0001023301,2.5145733e-14,1.9345519e-09
