,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,Recall
y:label=0,0,3,0,6,9,0,1,1,0
y:label=1,0,1,0,19,0,0,0,0,0.05
y:label=2,0,0,0,0,20,0,0,0,0
y:label=3,0,1,0,19,0,0,0,0,0.95
y:label=4,1,0,0,1,18,0,0,0,0.9
y:label=5,0,1,3,1,11,1,2,1,0.05
y:label=6,0,0,0,0,20,0,0,0,0
y:label=7,0,0,0,0,20,0,0,0,0
Precision,0,0.1666,0,0.4130,0.1836,1,0,0,
F-Measures,0,0.0769,0,0.5757,0.3049,0.0952,0,0,
,,,,,,,,,
Accuracy,0.2437,,,,,,,,
Avg.Precision,0.2204,,,,,,,,
Avg.Recall,0.2437,,,,,,,,
Avg.F-Measures,0.1316,,,,,,,,
